Booking_ID,Date,Month,Week,Time,Ticket_Type,Booking_Mode,From_Station,To_Station,Passengers,Total_Fare,Payment_Type,Railway_Line,City,Day_Name,Is_Weekend,Hour,Fare_Per_Passenger
80428,2025-07-12,Jul,28,5:30:24,Single,Paper,Byculla,Cst,2,30,Upi,Central,Mumbai,Saturday,1,5,15.0
29465,2025-01-13,Jan,3,11:03:16,Monthly Pass,Paperless,Marine Lines,Dadar,2,0,Cash,Western,Mumbai,Monday,0,11,0.0
82739,2025-10-25,Oct,43,0:55:13,Single,Paperless,Borivali,Dadar,4,60,Debit Card,Western,Mumbai,Saturday,1,0,15.0
35534,2025-12-14,Dec,51,5:53:37,Single,Paperless,Borivali,Marine Lines,1,15,Credit Card,Western,Mumbai,Sunday,1,5,15.0
64116,2025-12-24,Dec,52,7:18:24,Return,Paperless,Cst,Kurla,1,30,Upi,Central,Mumbai,Wednesday,0,7,30.0
10356,2025-11-22,Nov,47,4:14:11,Single,Paperless,Andheri,Borivali,3,45,Wallet,Western,Mumbai,Saturday,1,4,15.0
26200,2025-08-19,Aug,34,21:16:55,Single,Paper,Cst,Panvel,2,30,Credit Card,Harbour,Mumbai,Tuesday,0,21,15.0
13409,2025-08-19,Aug,34,8:27:10,Monthly Pass,Paperless,Akurdi,Pune Jn,1,0,Upi,Pune,Pune,Tuesday,0,8,0.0
74841,2025-11-15,Nov,46,6:50:51,Single,Paperless,Akurdi,Pune Jn,4,60,Debit Card,Pune,Pune,Saturday,1,6,15.0
58050,2025-09-06,Sep,36,13:46:06,Monthly Pass,Paperless,Dadar,Byculla,3,0,Credit Card,Central,Mumbai,Saturday,1,13,0.0
60396,2025-03-06,Mar,10,21:37:38,Monthly Pass,Paper,Virar,Andheri,1,0,Debit Card,Western,Mumbai,Thursday,0,21,0.0
33552,2025-05-23,May,21,15:01:05,Return,Paper,Khadki,Shivajinagar,1,30,Upi,Pune,Pune,Friday,0,15,30.0
34297,2025-06-12,Jun,24,10:12:22,Return,Paperless,Pune Jn,Akurdi,4,120,Upi,Pune,Pune,Thursday,0,10,30.0
15569,2025-11-16,Nov,47,6:09:14,Monthly Pass,Paperless,Shivajinagar,Pune Jn,3,0,Cash,Pune,Pune,Sunday,1,6,0.0
17597,2025-03-11,Mar,11,2:02:03,Monthly Pass,Paperless,Cst,Byculla,4,0,Credit Card,Central,Mumbai,Tuesday,0,2,0.0
26664,2025-02-01,Feb,5,4:21:13,Monthly Pass,Paperless,Khadki,Pune Jn,2,0,Debit Card,Pune,Pune,Saturday,1,4,0.0
64402,2025-08-10,Aug,33,16:22:00,Single,Paperless,Kurla,Dadar,1,15,Credit Card,Central,Mumbai,Sunday,1,16,15.0
48661,2025-05-20,May,21,2:20:32,Single,Paperless,Panvel,Wadala,2,30,Wallet,Harbour,Mumbai,Tuesday,0,2,15.0
